data;country;total infected;infected per day;total deaths;deaths per day;where
26.02.2020;Пакистан;2724;38;40;0;Местная
29.02.2020;Катар;1325;250;3;0;Местная
02.03.2020;Иордания;323;13;5;0;Завоз
02.03.2020;Тунис;553;58;19;1;Местная
02.03.2020;Саудовская Аравия;2179;140;29;4;Местная
02.03.2020;Марокко;883;122;58;11;Местная
05.03.2020;Палестина;217;23;1;0;Местная
13.03.2020;Судан;10;0;2;0;Завоз
16.03.2020;Сомали;7;0;0;0;Завоз
18.03.2020;Джибути;50;1;0;0;Завоз
22.03.2020;Сирия;16;0;2;0;Завоз
24.03.2020;Ливия;18;1;1;0;Завоз
25.02.2020;Нигерия;214;4;4;2;Местная
27.02.2020;Сенегал;219;12;2;1;Местная
02.03.2020;Камерун;555;46;9;3;Местная
05.03.2020;Буркина-Фасо;318;16;16;0;Местная
06.03.2020;ЮАР;1585;80;9;2;Местная
06.03.2020;Кот-д’Ивуар;245;27;1;0;Местная
10.03.2020;ДР Конго;154;6;18;5;Местная
10.03.2020;Того;41;1;3;1;Завоз
11.03.2020;Кения;126;4;4;0;Завоз
13.03.2020;Алжир;1251;80;130;25;Местная
13.03.2020;Гана;205;0;5;0;Местная
13.03.2020;Габон;21;0;1;0;Завоз
13.03.2020;Эфиопия;38;3;0;0;Завоз
13.03.2020;Гвинейская Республика;111;59;0;0;Завоз
14.03.2020;Мавритания;6;0;1;0;Завоз
14.03.2020;Эсватини;9;0;0;0;Завоз
14.03.2020;Руанда;102;13;0;0;Местная
14.03.2020;Намибия;14;0;0;0;Завоз
14.03.2020;Сейшельские Острова;10;0;0;0;Завоз
14.03.2020;Экваториальная Гвинея;16;0;0;0;Завоз
14.03.2020;Республика Конго;22;0;2;0;Завоз
16.03.2020;Бенин;16;0;0;0;Завоз
16.03.2020;Либерия;10;3;1;1;Местная
16.03.2020;Танзания;20;0;1;0;Завоз
14.03.2020;ЦАР;8;0;0;0;Завоз
18.03.2020;Маврикий;196;10;7;0;Завоз
18.03.2020;Замбия;39;0;1;0;Завоз
17.03.2020;Гамбия;4;0;1;0;Завоз
19.03.2020;Нигер;144;24;8;3;Завоз
19.03.2020;Чад;9;1;0;0;Завоз
20.03.2020;Кабо-Верде;7;1;1;1;Завоз
21.03.2020;Зимбабве;9;0;1;0;Завоз
21.03.2020;Мадагаскар;70;0;0;0;Завоз
21.03.2020;Ангола;10;1;2;0;Завоз
22.03.2020;Уганда;48;0;0;0;Завоз
22.03.2020;Мозамбик;10;0;0;0;Завоз
22.03.2020;Эритрея;29;7;0;0;Завоз
25.03.2020;Мали;41;2;3;0;Завоз
25.03.2020;Гвинея-Бисау;18;3;0;0;Завоз
30.03.2020;Ботсвана;4;0;1;0;Завоз
31.03.2020;Сьерра-Леоне;4;2;0;0;Завоз
01.04.2020;Бурунди;3;0;0;0;Завоз
02.04.2020;Малави;4;1;0;0;Завоз
